,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
153,ASIAN,"ASIAN Men's Skypee-33 Walking,Sports,Running,Gym Casual Sneaker Shoes for Boy's",₹524.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 1 hr 57 mins","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 1 hr 57 mins. ",https://www.amazon.in/ASIAN-Skypee-33-Walking-Running-Sneaker/dp/B09V31C1L4/ref=sr_1_101?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-101
154,Campus,Campus Women's Alice Running Shoes,₹974.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 1 hr 56 mins","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 1 hr 56 mins. ",https://www.amazon.in/Campus-Womens-L-PRPL-D-PRPL-Running/dp/B08KNM194L/ref=sr_1_102?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-102
155,Centrino,Centrino Mens 3211 Sneaker,₹599.00,30 Days Returns & Exchange,"FREE delivery Saturday, 17 December Or fastest delivery Friday, 16 December","FREE delivery Saturday, 17 December. Or fastest delivery Friday, 16 December. ",https://www.amazon.in/Centrino-Mens-White-Sneaker-3211-02/dp/B09QQN77J3/ref=sr_1_103?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-103
156,Campus,Campus Men's Dragon Running Shoes,"₹1,699.00",30 Days Returns & Exchange,"FREE delivery Wednesday, 30 November Or fastest delivery Tuesday, 29 November","FREE delivery Wednesday, 30 November. Or fastest delivery Tuesday, 29 November. ",https://www.amazon.in/Campus-Dragon-WHT-Running-Shoes/dp/B07XVKV41V/ref=sr_1_104?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-104
157,BRUTON,"BRUTON Exclusive Trendy, Casual, Sports, Running, Shoes for Men",₹337.25,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November on first order Or fastest delivery Saturday, 26 November. Order within 1 hr 56 mins","FREE delivery Sunday, 27 November on first order. Or fastest delivery Saturday, 26 November. Order within 1 hr 56 mins. ",https://www.amazon.in/BRUTON-Exclusive-Trendy-Shoes-Numeric_9/dp/B0B2JG6KR7/ref=sr_1_105?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-105
158,ASIAN,"ASIAN Men's INNOVA-04 Sports Running,Walking & Gym Shoes with Max Cushion Technology Casual Sneaker Shoes for Men's & Boy's",₹998.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 1 hr 55 mins","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 1 hr 55 mins. ",https://www.amazon.in/ASIAN-INNOVA-04-Running-Technology-Numeric_10/dp/B0BHF9R9TZ/ref=sr_1_106?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-106
159,Generic,SEGA New Runner Men Running Sport Shoes (Black Brown White),₹740.00,30 Days Returns,₹195 delivery December 2 - 3,₹195 delivery December 2 - 3. ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODg4OTE5Njc5OTU1ODcwOjE2NjkzMDU1NjY6c3BfbXRmOjIwMDc0NDQwNTg2NTA1OjowOjo&url=%2FRunner-Running-Sport-Shoes-Black%2Fdp%2FB097F61BDX%2Fref%3Dsr_1_107_sspa%3Fkeywords%3Dshoes%26qid%3D1669305566%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-107-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
160,Bacca Bucci,Bacca Bucci Men's Running Shoe,"₹1,399.00",30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 1 hr 55 mins","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 1 hr 55 mins. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODg4OTE5Njc5OTU1ODcwOjE2NjkzMDU1NjY6c3BfbXRmOjIwMDc2MjY2Nzg1MjAzOjowOjo&url=%2FBacca-Bucci-Black-Orange-Running%2Fdp%2FB08HNG87JP%2Fref%3Dsr_1_108_sspa%3Fkeywords%3Dshoes%26qid%3D1669305566%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-108-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
161,Skechers,Skechers Mens Go Run Pulse-Shock Wave Running Shoe,"₹4,199.00",30 Days Returns & Exchange,"FREE delivery Saturday, 26 November Or fastest delivery Tomorrow, November 25. Order within 14 hrs 15 mins","FREE delivery Saturday, 26 November. Or fastest delivery Tomorrow, November 25. Order within 14 hrs 15 mins. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODg4OTE5Njc5OTU1ODcwOjE2NjkzMDU1NjY6c3BfbXRmOjIwMDUyNzg3OTMzNDk4OjowOjo&url=%2FSkechers-GO-Pulse-Wave-Mens-Running-Shoes-220105-BKBL-BLACK%2Fdp%2FB0992MBPL8%2Fref%3Dsr_1_109_sspa%3Fkeywords%3Dshoes%26qid%3D1669305566%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-109-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
162,Bacca Bucci,"Bacca Bucci Zeus Men Fashion Sneakers/Running Shoes with Chunky Rubber Outsole for Running, Walking, Training, Gyming, Streets, Parties & Fun","₹1,499.00",30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 1 hr 55 mins","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 1 hr 55 mins. ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODg4OTE5Njc5OTU1ODcwOjE2NjkzMDU1NjY6c3BfbXRmOjIwMDQzNDI2MDA4NDk4OjowOjo&url=%2FBacca-Bucci-Fashion-Sneakers-Training%2Fdp%2FB09F7ZDCVT%2Fref%3Dsr_1_110_sspa%3Fkeywords%3Dshoes%26qid%3D1669305566%26qu%3DeyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9%26sr%3D8-110-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA2130RQ2DA9D45
